x,y,z
-8.68298,4.46165,8.72799
-1.35951,-7.58933,-8.34179
-8.56086,-8.3388,-6.5429900000000005
-9.435410000000001,5.31318,-11.76443
-3.9811699999999997,7.389539999999999,5.9602699999999995
0.1969,1.62477,-11.93785
-12.76147,6.4888,-9.361839999999999
8.931339999999999,3.3408599999999997,-3.34741
-10.237860000000001,-11.48456,-4.72037
-2.63693,7.398689999999999,1.9966
3.11291,-8.34855,-6.247000000000001
-12.36841,-9.022210000000001,-6.312819999999999
10.3376,1.94807,-0.06804
-10.93952,9.52087,-3.2827900000000003
-7.2152899999999995,11.752930000000001,11.21503
6.366619999999999,9.45453,-8.284980000000001
-6.0625599999999995,-1.86536,-5.52779
-5.91699,6.5648100000000005,-10.910210000000001
-7.8434,-10.847669999999999,11.59822
-9.64674,2.6059900000000003,-9.16995
-12.219439999999999,2.2629799999999998,8.80954
6.179180000000001,-11.48413,12.26394
-11.73195,-3.2849,5.46775
-1.6433400000000002,3.8612300000000004,2.03368
-4.87616,11.82878,-8.68913
5.58367,-9.66235,-2.09953
3.32574,-2.3380799999999997,12.47218
6.07506,5.86458,-1.83112
-1.51528,-7.19183,-11.7204
7.9968,-10.19379,-8.59063
11.50925,-1.56444,3.4887900000000003
8.43961,8.63267,10.50045
-1.8857099999999998,3.97422,-10.20332
-0.16565,-12.30339,0.31687
-10.93754,0.12736,5.12685
-3.15272,12.49261,-1.0641200000000002
-8.66841,-8.38803,9.424660000000001
12.7005,-9.01806,4.833130000000001
-7.033510000000001,-6.20986,4.90517
6.0696699999999995,12.316289999999999,-2.2412400000000003
-3.07754,-6.87755,4.82645
-4.03402,-0.96795,-12.457310000000001
-8.07766,-5.83784,0.6513899999999999
-0.35859,10.26395,9.782689999999999
11.8394,-9.15315,-9.338980000000001
9.33649,-9.352739999999999,-2.24125
8.73301,-4.4362699999999995,11.43688
10.071530000000001,12.094669999999999,-2.87845
4.65908,-4.76392,0.2746
-5.42571,-2.3527400000000003,4.1901
3.3163199999999997,-0.32349,-10.55742
-2.65097,8.57757,-9.32421
11.09963,7.733569999999999,12.97322
12.51286,7.0662899999999995,4.7976
-6.04936,7.924169999999999,2.56086
5.90424,2.4828099999999997,-0.31465
-0.43001999999999996,-4.43691,4.14227
-7.03108,-5.15878,9.2107
-11.12567,4.74287,-6.33277
-3.9329300000000003,10.32569,8.72717
2.5014,5.01925,-1.7709700000000002
12.71701,5.45518,-2.21488
-4.49521,4.47971,-0.18927
7.828310000000001,5.48147,9.21327
-1.8540299999999998,-12.7856,-11.725710000000001
5.66142,2.9781299999999997,-5.4336
-1.01605,9.53682,5.18355
11.176969999999999,-5.24632,-1.32074
-8.329930000000001,7.680910000000001,11.756839999999999
3.49391,-5.8485,3.55231
-0.32611,6.83339,7.75727
6.818510000000001,-5.92489,4.043069999999999
-12.58035,-6.02025,-4.08411
11.488430000000001,6.48137,9.13991
-11.00297,0.01522,-0.67992
9.50428,-10.500689999999999,-12.18566
-4.41017,11.07426,5.13814
3.60699,12.94754,4.988569999999999
-10.3747,-6.03024,3.09616
-1.81244,-4.1584900000000005,12.56374
-11.40616,3.74464,5.7147
-5.91735,-10.78223,8.844489999999999
9.67521,0.5796399999999999,-11.35138
-2.23904,6.31811,-2.04731
8.80574,-0.7821199999999999,7.68479
6.2118199999999995,2.8528599999999997,-9.34356
-4.68405,-9.02285,11.61218
-8.20759,1.9265900000000002,5.4417
12.33339,-9.48005,0.82878
-6.34896,0.64339,-7.81382
-2.5609599999999997,6.64898,-12.282160000000001
-2.00507,4.04459,5.52226
-2.41624,2.19827,12.00774
2.12364,1.9650900000000002,-4.70505
-10.52973,-3.98808,-11.53486
2.1949799999999997,9.77379,6.644310000000001
1.4208100000000001,5.85626,-5.327999999999999
-8.60161,-12.83911,4.07899
-10.65013,12.62515,11.6885
-5.03317,-11.054730000000001,4.84243
12.51185,6.9687,1.3064
-9.26123,0.11865,-5.09082
1.09502,7.48263,0.6480100000000001
-1.53799,12.817039999999999,7.31228
1.2007299999999999,-5.19177,-6.721660000000001
-7.3251800000000005,-3.39589,12.2523
-5.79114,-0.42262,7.42215
5.00897,12.41865,8.48841
-5.40762,3.16055,7.779889999999999
-1.75185,3.98989,-4.58535
-9.02554,7.34507,-8.78758
-10.69431,-11.70243,8.06128
-0.36125,1.9701400000000002,-1.10132
-0.56698,9.8428,-1.61134
9.5863,9.6836,7.01748
10.23639,-12.173910000000001,3.2858
8.583689999999999,-6.4406300000000005,-11.51072
0.32725,3.10771,9.354619999999999
-7.874680000000001,-0.47581,-11.160260000000001
-3.12244,-12.911719999999999,10.7988
-0.01722,9.48204,-12.28162
2.3479099999999997,11.72055,-1.5082200000000001
-5.26323,-5.97031,-6.83592
9.33424,5.02072,1.40041
11.14143,-12.23986,7.6212100000000005
-7.4408199999999995,4.21453,-6.75701
9.1846,-3.61122,1.6030000000000002
6.01222,-0.13093,-7.033869999999999
2.7366,1.22566,11.77641
12.90766,10.12958,6.993930000000001
3.7583,3.4390699999999996,-11.49362
-11.22695,12.90238,1.20141
2.8543,10.653030000000001,10.93548
6.26355,10.72834,11.86737
-11.19478,-9.66152,11.96648
-8.26383,3.21285,0.30711
4.55837,-4.07762,-6.3834599999999995
